x,y,color_group
-0.5220692000,0.2773702400,0.0000000000
0.3330692000,0.5173702400,2.0000000000
0.3885000000,0.6000000000,2.0000000000
0.4439308000,0.6826297600,2.0000000000
0.4690000000,0.7200000000,2.0000000000
-0.4970000000,0.7200000000,0.0000000000
-0.4520000000,0.7200000000,0.0000000000
-0.3268571400,0.7200000000,0.0000000000
-0.2017142900,0.7200000000,0.0000000000
-0.0765714300,0.7200000000,0.0000000000
0.0485714300,0.7200000000,0.0000000000
0.1737142900,0.7200000000,0.0000000000
0.2988571400,0.7200000000,0.0000000000
0.4240000000,0.7200000000,0.0000000000
-0.6329308000,0.5173702400,0.0000000000
-0.5775000000,0.6000000000,0.0000000000
-0.5220692000,0.6826297600,0.0000000000
-0.1750000000,-0.4800000000,1.0000000000
-0.1499308000,-0.4426297600,1.0000000000
-0.0945000000,-0.3600000000,1.0000000000
-0.0390692000,-0.2773702400,1.0000000000
-0.0140000000,-0.2400000000,1.0000000000
0.0110692000,-0.2026297600,1.0000000000
0.0665000000,-0.1200000000,1.0000000000
0.1219308000,-0.0373702400,1.0000000000
0.1470000000,0.0000000000,1.0000000000
0.1720692000,0.0373702400,1.0000000000
0.2275000000,0.1200000000,1.0000000000
0.2829308000,0.2026297600,1.0000000000
0.3281250000,0.2700000000,1.0000000000
0.3482500000,0.3000000000,1.0000000000
0.3683750000,0.3300000000,1.0000000000
0.3482500000,0.4800000000,2.0000000000
0.3885000000,0.4800000000,2.0000000000
0.4287500000,0.4800000000,2.0000000000
0.4690000000,0.4800000000,2.0000000000
0.1067500000,0.3000000000,1.0000000000
0.1309000000,0.3360000000,1.0000000000
0.1550500000,0.3720000000,1.0000000000
0.1792000000,0.4080000000,1.0000000000
0.2033500000,0.4440000000,1.0000000000
0.0866250000,0.2700000000,1.0000000000
-0.4165000000,-0.4800000000,1.0000000000
-0.3914308000,-0.4426297600,1.0000000000
-0.3192872000,-0.3350865100,1.0000000000
-0.2471436000,-0.2275432500,1.0000000000
-0.1750000000,-0.1200000000,1.0000000000
-0.1028564000,-0.0124567500,1.0000000000
-0.0307128000,0.0950865100,1.0000000000
0.0414308000,0.2026297600,1.0000000000
-0.3762500000,-0.4800000000,1.0000000000
-0.3360000000,-0.4800000000,1.0000000000
-0.2957500000,-0.4800000000,1.0000000000
-0.2555000000,-0.4800000000,1.0000000000
-0.2152500000,-0.4800000000,1.0000000000
-0.2555000000,-0.7200000000,1.0000000000
-0.2105000000,-0.7200000000,1.0000000000
-0.1347500000,-0.7200000000,1.0000000000
-0.0590000000,-0.7200000000,1.0000000000
-0.0140000000,-0.7200000000,1.0000000000
-0.1499308000,-0.5173702400,1.0000000000
-0.0945000000,-0.6000000000,1.0000000000
-0.0390692000,-0.6826297600,1.0000000000
-0.3963750000,-0.5100000000,1.0000000000
-0.3521000000,-0.5760000000,1.0000000000
-0.3279500000,-0.6120000000,1.0000000000
-0.3038000000,-0.6480000000,1.0000000000
-0.2796500000,-0.6840000000,1.0000000000
1.1130000000,-0.7200000000,1.0000000000
1.1580000000,-0.7200000000,1.0000000000
1.2740000000,-0.7200000000,1.0000000000
1.3900000000,-0.7200000000,1.0000000000
1.4350000000,-0.7200000000,2.0000000000
1.1130000000,-0.2400000000,2.0000000000
1.1380692000,-0.2773702400,2.0000000000
1.2060346000,-0.3786851200,2.0000000000
1.2740000000,-0.4800000000,2.0000000000
1.3419654000,-0.5813148800,2.0000000000
1.4099308000,-0.6826297600,2.0000000000
0.6300000000,0.4800000000,2.0000000000
