letter,x,y
2.0000000000,-5.9057380109,0.0429955567
2.0000000000,-5.8123727569,0.0429955567
2.0000000000,-5.6813111576,-0.0165573964
2.0000000000,-5.6019795332,0.0410398782
2.0000000000,-5.5226479111,0.0986371550
2.0000000000,-5.4433162867,0.1562344296
2.0000000000,-5.4069016800,0.1826725905
2.0000000000,-5.4565486725,0.2686637045
2.0000000000,-5.4399996758,0.2399999998
2.0000000000,-5.4234506768,0.2113362952
2.0000000000,-5.7309581501,0.0694337176
2.0000000000,-5.6516265257,0.1270309922
2.0000000000,-5.5722949036,0.1846282690
2.0000000000,-5.4929632792,0.2422255436
2.0000000000,-5.3844016811,0.2216437329
2.0000000000,-5.3417568959,0.2955066644
2.0000000000,-5.2991121129,0.3693695958
2.0000000000,-5.2766121140,0.4083407383
2.0000000000,-5.3262591065,0.4943318522
2.0000000000,-5.3097101097,0.4656681476
2.0000000000,-5.2931611107,0.4370044429
2.0000000000,-5.4340486736,0.3076348469
2.0000000000,-5.3914038884,0.3814977784
2.0000000000,-5.3487591054,0.4553607098
2.0000000000,-5.3268570661,0.6340088860
2.0000000000,-5.3170773014,0.5900844496
2.0000000000,-5.3017345912,0.5211748121
2.0000000000,-5.2863918787,0.4522651747
2.0000000000,-5.3765040586,0.7200000000
2.0000000000,-5.3599550619,0.6913362953
2.0000000000,-5.3434060629,0.6626725907
2.0000000000,-5.3667242939,0.6760755636
2.0000000000,-5.3513815837,0.6071659261
2.0000000000,-5.3360388712,0.5382562887
2.0000000000,-6.6501980170,-0.7200000005
2.0000000000,-6.6073210689,-0.7200000005
2.0000000000,-6.5644441208,-0.7200000005
2.0000000000,-6.5215671728,-0.7200000005
2.0000000000,-6.6998450095,-0.6340088865
2.0000000000,-6.6569680614,-0.6340088865
2.0000000000,-6.6140911133,-0.6340088865
2.0000000000,-6.5712141653,-0.6340088865
2.0000000000,-6.6832960127,-0.6626725912
2.0000000000,-6.6667470137,-0.6913362959
2.0000000000,-5.8207279170,0.4196241456
2.0000000000,-5.7757279168,0.4196241456
2.0000000000,-5.6870374868,0.4196241456
2.0000000000,-5.5983470568,0.4196241456
2.0000000000,-5.5533470567,0.4196241456
2.0000000000,-5.8703749095,0.5056152596
2.0000000000,-5.8253749093,0.5056152596
2.0000000000,-5.7214339320,0.5056152596
2.0000000000,-5.6174929546,0.5056152596
2.0000000000,-5.5724929545,0.5056152596
2.0000000000,-5.8538259127,0.4769515550
2.0000000000,-5.8372769137,0.4482878503
2.0000000000,-5.9143994478,0.2573802971
2.0000000000,-5.8956651416,0.2898290659
2.0000000000,-5.8769308355,0.3222778370
2.0000000000,-5.8581965293,0.3547266058
2.0000000000,-5.8394622231,0.3871753768
2.0000000000,-6.0136934328,0.2573802971
2.0000000000,-5.9911934316,0.2963514395
2.0000000000,-5.9420341711,0.3814977784
2.0000000000,-5.8928749107,0.4666441172
2.0000000000,-5.9181076133,0.7200000000
2.0000000000,-5.8731076131,0.7200000000
2.0000000000,-5.7602067257,0.7200000000
2.0000000000,-5.6473058360,0.7200000000
2.0000000000,-5.5344049462,0.7200000000
2.0000000000,-5.4215040588,0.7200000000
2.0000000000,-6.6773450105,-0.5950377441
2.0000000000,-6.6103688820,-0.4790316878
2.0000000000,-6.5433927557,-0.3630256337
2.0000000000,-6.4764166294,-0.2470195796
2.0000000000,-6.4094405008,-0.1310135255
2.0000000000,-6.3424643745,-0.0150074714
2.0000000000,-6.2754882482,0.1009985849
2.0000000000,-6.2085121219,0.2170046390
2.0000000000,-6.1415359934,0.3330106931
2.0000000000,-6.0745598671,0.4490167471
2.0000000000,-6.0075837408,0.5650228012
2.0000000000,-5.9406076122,0.6810288576
2.0000000000,-5.5629200056,0.4626197026
2.0000000000,-5.5498827256,0.4040645931
2.0000000000,-5.5759406402,0.3589309636
2.0000000000,-5.5629116829,0.3814977784
2.0000000000,-5.7158114778,0.2573802971
2.0000000000,-5.6808437695,0.2827679637
2.0000000000,-5.6458760590,0.3081556303
2.0000000000,-5.6109083485,0.3335432970
2.0000000000,-5.8746818538,0.2573802971
2.0000000000,-5.8349642598,0.2573802971
